Wall time,Step,Value
1524840151.350603,0,0.5709606409072876
1524840205.420343,1,0.5792320966720581
1524840257.6699362,2,0.5813330411911011
1524840308.7290611,3,0.5844761729240417
1524840357.1894069,4,0.5880163311958313
1524840409.5230641,5,0.5892239809036255
1524840460.770098,6,0.589836061000824
1524840511.048703,7,0.590563952922821
1524840562.0011678,8,0.591060221195221
1524840614.999383,9,0.5912918448448181
1524840670.51568,10,0.5916392207145691
1524840719.514349,11,0.5915564894676208
1524840770.200901,12,0.592036247253418
1524840825.1724238,13,0.5927476286888123
1524840875.916852,14,0.5928137898445129
1524840926.279888,15,0.5929461121559143
1524840976.386539,16,0.5933927893638611
1524841027.895062,17,0.5939552187919617
1524841078.160636,18,0.5941702723503113
1524841128.8233018,19,0.5940379500389099
1524841183.692557,20,0.5944018959999084
1524841236.4781299,21,0.5944184064865112
1524841286.442367,22,0.5947989225387573
1524841337.541127,23,0.5943026542663574
1524841387.248808,24,0.5948320031166077
1524841435.718028,25,0.5949312448501587
1524841485.065815,26,0.5953779220581055
1524841534.2504818,27,0.5952951908111572
1524841585.8319318,28,0.5957087874412537
1524841636.072545,29,0.5958576798439026
1524841690.570255,30,0.5957583785057068
1524841742.184653,31,0.5961554646492004
1524841798.5960882,32,0.5966517329216003
1524841853.2305799,33,0.5966848134994507
1524841907.699318,34,0.5967675447463989
1524841964.279798,35,0.5970321893692017
1524842025.606772,36,0.5970321893692017
1524842079.199614,37,0.5975781083106995
1524842131.290807,38,0.5973134636878967
1524842189.551677,39,0.5975781083106995
1524842238.31893,40,0.597693920135498
1524842286.155562,41,0.5979751348495483
1524842339.209053,42,0.5981571078300476
1524842390.018487,43,0.5983390808105469
1524842439.8880372,44,0.5980578660964966
1524842490.310941,45,0.5986699461936951
1524842541.713324,46,0.5985045433044434
1524842593.1201391,47,0.5986534357070923
1524842645.975404,48,0.5990173816680908
1524842700.32318,49,0.5991000533103943
