Wall time,Step,Value
1525019637.993131,0,2.1271986961364746
1525019693.659847,1,1.935874342918396
1525019743.268662,2,1.8311697244644165
1525019793.388435,3,1.7642375230789185
1525019845.471877,4,1.728412389755249
1525019897.239723,5,1.6994287967681885
1525019948.015035,6,1.6785438060760498
1525020000.125728,7,1.662056803703308
1525020050.796731,8,1.6486579179763794
1525020101.481947,9,1.6374001502990723
1525020153.34912,10,1.62971031665802
1525020205.7642088,11,1.6207740306854248
1525020257.08863,12,1.6144205331802368
1525020308.37443,13,1.6079660654067993
1525020362.785006,14,1.6026458740234375
1525020415.1027598,15,1.5986522436141968
1525020467.5580978,16,1.595476746559143
1525020519.833378,17,1.5911860466003418
1525020570.814582,18,1.587198257446289
1525020622.581439,19,1.5837221145629883
1525020675.5248482,20,1.5792971849441528
1525020729.866394,21,1.5775432586669922
1525020781.9693608,22,1.5746551752090454
1525020834.003211,23,1.5712559223175049
1525020886.068539,24,1.5690535306930542
1525020938.264478,25,1.5671297311782837
1525020990.485973,26,1.5643823146820068
1525021046.803617,27,1.5611895322799683
1525021102.431474,28,1.560463547706604
1525021156.9622521,29,1.5582245588302612
1525021209.052445,30,1.556627631187439
1525021262.340072,31,1.5546313524246216
1525021315.76986,32,1.552817940711975
1525021368.366631,33,1.5518417358398438
1525021425.681232,34,1.5491055250167847
1525021478.64315,35,1.5497491359710693
1525021532.902177,36,1.5472097396850586
1525021587.780548,37,1.5462785959243774
1525021639.441056,38,1.5450550317764282
1525021690.6437068,39,1.5424895286560059
1525021741.889982,40,1.5402740240097046
1525021793.311609,41,1.5399588346481323
1525021844.440468,42,1.539825201034546
1525021895.847456,43,1.5384832620620728
1525021946.708,44,1.5378578901290894
1525021997.5140438,45,1.536337971687317
1525022048.78674,46,1.5349575281143188
1525022100.202049,47,1.534860610961914
1525022151.262163,48,1.5337564945220947
1525022201.807808,49,1.5315284729003906
