Wall time,Step,Value
1524827521.142709,0,2.290834426879883
1524827537.809633,1,2.1732211112976074
1524827555.003285,2,2.1368730068206787
1524827571.871944,3,2.111219644546509
1524827590.077259,4,2.099976062774658
1524827608.083738,5,2.0925347805023193
1524827625.78917,6,2.0869088172912598
1524827643.949075,7,2.082453727722168
1524827663.3143291,8,2.0788769721984863
1524827680.191363,9,2.0757739543914795
1524827697.0438201,10,2.0732150077819824
1524827715.1840599,11,2.071068525314331
1524827733.284155,12,2.0691657066345215
1524827752.222218,13,2.0674445629119873
1524827770.756031,14,2.0658607482910156
1524827789.233504,15,2.064309597015381
1524827806.579419,16,2.0630199909210205
1524827824.3283358,17,2.06170916557312
1524827842.580298,18,2.0604910850524902
1524827860.4017432,19,2.0593924522399902
1524827879.2259068,20,2.05837345123291
1524827897.802777,21,2.0573933124542236
1524827915.192713,22,2.056474447250366
1524827931.889399,23,2.055694103240967
1524827950.0321221,24,2.054786205291748
1524827967.805438,25,2.0541038513183594
1524827984.825622,26,2.0533809661865234
1524828003.9181042,27,2.0527589321136475
1524828022.866271,28,2.0521557331085205
1524828040.782542,29,2.0515918731689453
1524828059.59059,30,2.0510072708129883
1524828077.330743,31,2.0504703521728516
1524828094.1120489,32,2.049947500228882
1524828112.897919,33,2.0494132041931152
1524828131.379193,34,2.048902750015259
1524828149.6823528,35,2.04840350151062
1524828167.778811,36,2.0479087829589844
1524828185.098464,37,2.047455072402954
1524828202.406374,38,2.0469775199890137
1524828220.147276,39,2.0465493202209473
1524828237.2817001,40,2.0461158752441406
1524828256.631925,41,2.0456957817077637
1524828280.831838,42,2.045278310775757
1524828299.965564,43,2.0448899269104004
1524828317.719063,44,2.0445079803466797
1524828335.707444,45,2.0441315174102783
1524828354.039366,46,2.043776273727417
1524828372.7212338,47,2.043426036834717
1524828390.8642728,48,2.0431721210479736
1524828408.993369,49,2.042787551879883
