Wall time,Step,Value
1525019637.993199,0,0.5764363408088684
1525019693.659925,1,0.5863620638847351
1525019743.2687218,2,0.5902000069618225
1525019793.388499,3,0.5942033529281616
1525019845.471951,4,0.5967840552330017
1525019897.239787,5,0.5992655158042908
1525019948.015102,6,0.6006054878234863
1525020000.125791,7,0.6012175679206848
1525020050.796798,8,0.6022597551345825
1525020101.482008,9,0.6030703783035278
1525020153.349182,10,0.6042448878288269
1525020205.764273,11,0.6048404574394226
1525020257.088704,12,0.6050885915756226
1525020308.374496,13,0.6066766977310181
1525020362.785069,14,0.6075038313865662
1525020415.102824,15,0.6071068048477173
1525020467.558164,16,0.6075369119644165
1525020519.833546,17,0.608777642250061
1525020570.8146482,18,0.6077188849449158
1525020622.581501,19,0.6089926958084106
1525020675.52491,20,0.6096213459968567
1525020729.8664598,21,0.6099522113800049
1525020781.969422,22,0.6086453199386597
1525020834.003273,23,0.6096213459968567
1525020886.068606,24,0.6106138825416565
1525020938.264541,25,0.6107627749443054
1525020990.486036,26,0.6114575862884521
1525021046.80368,27,0.6116230487823486
1525021102.431541,28,0.6106138825416565
1525021156.962314,29,0.61175537109375
1525021209.052598,30,0.6121854782104492
1525021262.3401332,31,0.6118050217628479
1525021315.769929,32,0.6120696663856506
1525021368.3667321,33,0.6113583445549011
1525021425.6812959,34,0.6133931279182434
1525021478.6432168,35,0.6119042634963989
1525021532.902247,36,0.613078773021698
1525021587.78061,37,0.6121854782104492
1525021639.441121,38,0.6142698526382446
1525021690.6437728,39,0.6137405037879944
1525021741.890049,40,0.6147496104240417
1525021793.311671,41,0.6150970458984375
1525021844.440534,42,0.6129298806190491
1525021895.8475251,43,0.6137239933013916
1525021946.708063,44,0.6137405037879944
1525021997.514107,45,0.6151962876319885
1525022048.786803,46,0.6149812340736389
1525022100.202124,47,0.6149150729179382
1525022151.262228,48,0.6153286099433899
1525022201.80787,49,0.6145511269569397
