Wall time,Step,Value
1524828873.846092,0,0.5378572344779968
1524829077.585332,1,0.5392794013023376
1524829282.5071738,2,0.5396010875701904
1524829498.616844,3,0.5402952432632446
1524829718.592155,4,0.5413111448287964
1524829924.721087,5,0.5423100590705872
1524830129.592906,6,0.5430211424827576
1524830336.7619321,7,0.5435459613800049
1524830546.721521,8,0.5439015030860901
1524830771.3012202,9,0.5444263815879822
1524830986.8441842,10,0.5445957183837891
1524831184.0471349,11,0.5448834896087646
1524831380.257782,12,0.5451374650001526
1524831567.848651,13,0.5452898740768433
1524831753.206582,14,0.5453745126724243
1524831938.168354,15,0.5455946326255798
1524832140.265645,16,0.5458146929740906
1524832353.406825,17,0.5459840297698975
1524832567.283944,18,0.5462210774421692
1524832781.2429051,19,0.5464749932289124
1524832995.21392,20,0.546627402305603
1524833209.239836,21,0.5466443300247192
1524833412.688142,22,0.5467458963394165
1524833596.647199,23,0.5468474626541138
1524833783.3876579,24,0.5469998717308044
1524833970.051054,25,0.5470167994499207
1524834157.083745,26,0.547203004360199
1524834343.982445,27,0.5472877025604248
1524834531.593607,28,0.5473384857177734
1524834719.478187,29,0.5474231243133545
1524834908.4444458,30,0.547558605670929
1524835096.528638,31,0.5476601719856262
1524835285.555486,32,0.5476940274238586
1524835474.650757,33,0.5478125214576721
1524835664.6957572,34,0.5478294491767883
1524835852.46281,35,0.5480326414108276
1524836040.3838458,36,0.5481680631637573
1524836228.06044,37,0.5481342077255249
1524836415.727791,38,0.5483373999595642
1524836604.619018,39,0.5483543276786804
1524836792.806039,40,0.5483881831169128
1524836979.497288,41,0.5484558939933777
1524837167.524876,42,0.5484558939933777
1524837354.038493,43,0.5484728217124939
1524837541.7074502,44,0.5484728217124939
1524837728.5291579,45,0.5485236644744873
1524837914.135669,46,0.5486083030700684
1524838100.092385,47,0.5487267971038818
1524838285.579333,48,0.5487775802612305
1524838470.8328,49,0.5487098693847656
