Wall time,Step,Value
1524827521.142766,0,0.563814103603363
1524827537.8096929,1,0.5655015110969543
1524827555.003354,2,0.5662624835968018
1524827571.872004,3,0.5671061277389526
1524827590.077327,4,0.5683965086936951
1524827608.083801,5,0.5691905617713928
1524827625.789238,6,0.5693228840827942
1524827643.949158,7,0.5692567229270935
1524827663.314403,8,0.5698357224464417
1524827680.191424,9,0.5700342655181885
1524827697.043883,10,0.5698026418685913
1524827715.1842701,11,0.5698192119598389
1524827733.284223,12,0.5699846148490906
1524827752.222292,13,0.5701004266738892
1524827770.7561002,14,0.5700011849403381
1524827789.233569,15,0.5702989101409912
1524827806.579489,16,0.5698026418685913
1524827824.3284009,17,0.5699184536933899
1524827842.580365,18,0.5699349641799927
1524827860.4018052,19,0.5697529911994934
1524827879.2259772,20,0.5698192119598389
1524827897.802853,21,0.5700176954269409
1524827915.1927738,22,0.5700507760047913
1524827931.889466,23,0.5696537494659424
1524827950.032189,24,0.5699515342712402
1524827967.805502,25,0.569620668888092
1524827984.825689,26,0.569521427154541
1524828003.918168,27,0.569620668888092
1524828022.8663418,28,0.5696041584014893
1524828040.782611,29,0.5696703195571899
1524828059.590662,30,0.5695710182189941
1524828077.330805,31,0.5697034001350403
1524828094.112113,32,0.5695048570632935
1524828112.897981,33,0.5695379376411438
1524828131.379262,34,0.56942218542099
1524828149.682423,35,0.569521427154541
1524828167.7788758,36,0.5694883465766907
1524828185.098523,37,0.5694386959075928
1524828202.4064488,38,0.569521427154541
1524828220.1473439,39,0.5693559646606445
1524828237.281767,40,0.5694552659988403
1524828256.631992,41,0.5693725347518921
1524828280.831912,42,0.5692732930183411
1524828299.965633,43,0.5693228840827942
1524828317.7191339,44,0.5693228840827942
1524828335.707508,45,0.5694056153297424
1524828354.039428,46,0.5692402124404907
1524828372.721298,47,0.5692402124404907
1524828390.864335,48,0.5691739916801453
1524828408.993433,49,0.5691574811935425
