Wall time,Step,Value
1524828873.846027,0,2.3417859077453613
1524829077.5852642,1,2.2417216300964355
1524829282.507112,2,2.212432622909546
1524829498.6167748,3,2.193964958190918
1524829718.592084,4,2.1803948879241943
1524829924.721021,5,2.169795036315918
1524830129.59284,6,2.161144971847534
1524830336.761861,7,2.153841495513916
1524830546.721419,8,2.147531270980835
1524830771.3011498,9,2.1420106887817383
1524830986.84412,10,2.1371121406555176
1524831184.04707,11,2.132713556289673
1524831380.257716,12,2.12870192527771
1524831567.8485901,13,2.125048875808716
1524831753.206521,14,2.121671199798584
1524831938.1682901,15,2.1185741424560547
1524832140.265572,16,2.1156675815582275
1524832353.406751,17,2.112964391708374
1524832567.283869,18,2.1104252338409424
1524832781.242831,19,2.108020067214966
1524832995.213845,20,2.1057488918304443
1524833209.2397609,21,2.103593111038208
1524833412.688083,22,2.1015517711639404
1524833596.647129,23,2.0995941162109375
1524833783.387594,24,2.097743272781372
1524833970.050991,25,2.0959665775299072
1524834157.083683,26,2.0942680835723877
1524834343.982383,27,2.092636823654175
1524834531.593544,28,2.09108304977417
1524834719.478125,29,2.089573860168457
1524834908.4443789,30,2.0881223678588867
1524835096.528575,31,2.086721181869507
1524835285.555424,32,2.085367202758789
1524835474.650692,33,2.084061622619629
1524835664.6956952,34,2.0827956199645996
1524835852.462749,35,2.081571340560913
1524836040.383785,36,2.080380916595459
1524836228.0603771,37,2.0792224407196045
1524836415.72773,38,2.0781025886535645
1524836604.618952,39,2.077012538909912
1524836792.805978,40,2.075948715209961
1524836979.4972281,41,2.074918746948242
1524837167.524815,42,2.0739152431488037
1524837354.03843,43,2.0729405879974365
1524837541.707386,44,2.071985960006714
1524837728.5290968,45,2.0710484981536865
1524837914.135606,46,2.070136070251465
1524838100.092324,47,2.069248914718628
1524838285.579272,48,2.068373918533325
1524838470.832739,49,2.0675177574157715
